id	topic	problem name	text	equation	machine read	input (yes or no)	answer	machine read a	multiple choose option 1	multiple choose option 2	multiple choose option 3	multiple choose option 4	multiple choose option 5
49	Proportion Equations		Solve:	7/a = 8/7	"(,=,(,/,7,a,),(,/,8,7,),)"	no	a = 6.125	"(,=,a,6.125,)"					
50	Proportion Equations		Solve:	a/3 = 14/21	"(,=,(,/,a,3,),(,/,14,21,),)"	no	a = 2	"(,=,a,2,)"					
51	Proportion Equations		Solve:	3/16 = a/4	"(,=,(,/,3,16,),(,/,a,4,),)"	no	a = 0.75	"(,=,a,0.75,)"					
52	Proportion Equations		Solve:	4/3 = 8/a	"(,=,(,/,4,3,),(,/,8,a,),)"	no	a = 6	"(,=,a,6,)"					
53	Proportion Equations		Solve:	(a-3)/a = 9/10	"(,=,(,/,(,+,a,-3,),a,),(,/,9,10,),)"	no	a=30	"(,=,a,30,)"					
54	Proportion Equations		Solve:	7/(a+5) = 10/5	"(,=,(,/,7,(,+,a,5,),),(,/,10,5,),)"	no	a=-1.5	"(,=,a,-1.5,)"					
55	Proportion Equations		Solve:	4/(a-8) = 8/2	"(,=,(,/,4,(,+,a,-8,),),(,/,8,2,),)"	no	a=9	"(,=,a,9,)"					
56	Proportion Equations		Solve:	7/9 = a/(a-10)	"(,=,(,/,7,9,),(,/,a,(,+,a,-10,),),)"	no	a=-35	"(,=,a,-35,)"					
57	Proportion Equations		Solve:	9/(a-7) = 6/a	"(,=,(,/,9,(,+,a,-7,),),(,/,6,a,),)"	no	a = -14	"(,=,a,-14,)"					
58	Proportion Equations		Solve:	a/(a-3) = 2/3	"(,=,(,/,a,(,+,a,-3,),),(,/,2,3,),)"	no	a = -6	"(,=,a,-6,)"					
59	Proportion Equations		Solve:	(a+10)/(a-7) = 8/9	"(,=,(,/,(,+,a,10,),(,+,a,-7,),),(,/,8,9,),)"	no	a=-146	"(,=,a,-146,)"					
60	Proportion Equations		Solve:	(a+5)/14 = (a-1)/2	"(,=,(,/,(,+,a,5,),14,),(,/,(,+,a,-1,),2,),)"	no	a = 2	"(,=,a,2,)"					
61	Word Problems	Bannzanzas's Bananas	For performing a show, Banzanzas The Juggling Monkey gets paid 10 bananas up-front, plus 2 bananas for every person in the audience.  If Banzanzas gets 100 bananas on one night, how many people came to the show?	2a + 10 = 100		yes	a = 45	"(,=,a,45,)"
62	Word Problems	Pancake party	Colin's momma can make 3 pancakes in a minute.  When she cooks, she always eats 5 of the pancakes before she serves them.  How long will it take her to serve up 22 pancakes for Colin and his friends?	3a - 5 = 22		yes	a=9	"(,=,a,9,)"
63	Word Problems	Axiccixi the Alien	Axiccixi the alien is kidnapping cows from Earth.  He can sell each cow for 13 space bucks, but he owes his space bank 30 space bucks from an earlier deal.  If he wants to buy some space yoogurrrrt which costs 9 space bucks, how many cows will Axiccixi need to kidnap?	13a - 30 = 9		yes	a=3	"(,=,a,3,)"
64	Word Problems	Baskets of Bacon	Ralph and Angie have the same amount of bacon, and their baskets are the same size.  Ralph has 4 baskets and one extra piece of bacon.  Angie has 3 baskets and 5 extra pieces.  How many pieces of bacon are in each basket?	4a + 1 = 3a + 5		yes	a=4	"(,=,a,4,)"
65	Word Problems	Change for a Chicken	Marco trades 3 chickens and 25 dollars for a goat.  Margot trades 5 chickens and 7 dollars for a goat from the same shop.  How many dollars is each chicken worth?	3a + 25 = 5a + 7		yes	a = 9	"(,=,a,9,)"
